incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-04-26,深夜,東京都小平市小川西町５丁目,東京都,痴漢,False,（東京）小平市小川西町５丁目で痴漢　４月２６日深夜,http://this.kiji.is/1156788351018107010?c=134733695793120758
2024-04-26,深夜,東京都稲城市矢野口,東京都,風呂場盗撮,False,（東京）稲城市矢野口で風呂場盗撮の疑い　４月２６日深夜,http://this.kiji.is/1156786879002968306?c=134733695793120758
2024-04-26,夕方,東京都八王子市別所２丁目,東京都,声かけ,False,（東京）八王子市別所２丁目で声かけ　４月２６日夕方,http://this.kiji.is/1156779718844137562?c=134733695793120758
2024-04-24,午後,東京都小平市大沼町４丁目,東京都,下半身露出,False,（東京）小平市大沼町４丁目で下半身露出　４月２４日午後,http://this.kiji.is/1156768533973844635?c=134733695793120758
2024-05-29,午後,東京都江戸川区鹿骨３丁目付近,東京都,つきまとい,False,（東京）江戸川区鹿骨３丁目付近でつきまとい　５月２９日午後,http://this.kiji.is/1168715513516802790?c=134733695793120758
2024-06-12,夕方,東京都新宿区水道町,東京都,暴行,False,（東京）新宿区水道町で暴行　６月１２日夕方,http://this.kiji.is/1173609902503657591?c=134733695793120758
2024-05-29,深夜,東京都板橋区熊野町,東京都,下半身露出,False,（東京）板橋区熊野町で下半身露出　５月２９日深夜,http://this.kiji.is/1168708577541505790?c=134733695793120758
2024-04-27,早朝,東京都杉並区高円寺北１丁目,東京都,痴漢,False,（東京）杉並区高円寺北１丁目で痴漢　４月２７日早朝,http://this.kiji.is/1156761479222739838?c=134733695793120758
2024-05-29,午後,東京都西東京市保谷町６丁目,東京都,つきまとい,False,（東京）西東京市保谷町６丁目でつきまとい　５月２９日午後,http://this.kiji.is/1168707782040765021?c=134733695793120758
2024-04-27,未明,東京都西東京市中町２丁目,東京都,痴漢,False,（東京）西東京市中町２丁目で痴漢　４月２７日未明,http://this.kiji.is/1156756929985381334?c=134733695793120758
2024-05-29,夕方,東京都港区芝２丁目,東京都,声かけ,False,（東京）港区芝２丁目で声かけ　５月２９日夕方,http://this.kiji.is/1168704608836780689?c=134733695793120758
2024-05-29,夕方,東京都江東区猿江１丁目,東京都,声かけ,False,（東京）江東区猿江１丁目で声かけ　５月２９日夕方,http://this.kiji.is/1168701497058918863?c=134733695793120758
2024-05-29,朝,東京都八王子市堀之内３丁目,東京都,盗撮,False,（東京）八王子市堀之内３丁目で盗撮の疑い　５月２９日朝［解決］,http://this.kiji.is/1168700040263058239?c=134733695793120758
2024-04-26,夕方,東京都板橋区高島平８丁目,東京都,撮影,False,（東京）板橋区高島平８丁目で撮影　４月２６日夕方,http://this.kiji.is/1156686620277359177?c=134733695793120758
2024-05-29,夜,東京都東久留米市滝山２丁目,東京都,下半身露出,False,（東京）東久留米市滝山２丁目で下半身露出　５月２９日夜,http://this.kiji.is/1168696937241428066?c=134733695793120758
2024-06-12,夕方,東京都荒川区南千住４丁目付近,東京都,ひったくり,False,（東京）荒川区南千住４丁目付近でひったくり　６月１２日夕方,http://this.kiji.is/1173562476932547004?c=134733695793120758
2024-04-26,夕方,東京都港区芝５丁目,東京都,不審な接触,False,（東京）港区芝５丁目で不審な接触　４月２６日夕方,http://this.kiji.is/1156585002591355682?c=134733695793120758
2024-05-29,夕方,東京都調布市布田３丁目,東京都,声かけ,False,（東京）調布市布田３丁目で声かけ　５月２９日夕方,http://this.kiji.is/1168544945623154909?c=134733695793120758
2024-04-26,朝,東京都府中市住吉町４丁目,東京都,痴漢,False,（東京）府中市住吉町４丁目で痴漢　４月２６日朝,http://this.kiji.is/1156578264464474169?c=134733695793120758
